REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.956956957,0.073873874,286453017.8,0.018241939,0.016052407,,,,,,,,,,
0.936936937,0.603678679,77959843.77,0.107296946,0.003587318,,,,,,,,,,
0.926926927,0.051976977,118701868.7,0.09419081,0.00401707,,,,,,,,,,
0.951951952,0.050925926,199310987.1,0.09182422,0.001481311,,,,,,,,,,
0.965965966,0.317017017,232438768.8,0.099886999,0,,,,,,,,,,
0.924924925,0.089139139,94064472.84,0.090256589,0.008116786,,,,,,,,,,
0.921921922,0.077352352,74057120.25,0.091872064,0.0063,,,,,,,,,,
0.940940941,0.318193193,109590274.6,0.091808952,0.009387841,,,,,,,,,,
0.936936937,0.088738739,139324413,0.107973746,0,,,,,,,,,,
0.908908909,0.053028028,0,0.082420146,0.000471796,,,,,,,,,,
0.957957958,0.066566567,295135628.4,0.018336856,0.015427052,,,,,,,,,,
0.92992993,0.119094094,84045209.57,0.090490765,0.008360715,,,,,,,,,,
0.964964965,0.344594595,296098509.1,0.041346701,0.000824334,,,,,,,,,,
0.952952953,0.056281281,279936781.6,0.029456644,0.002795156,,,,,,,,,,
0.965965966,0.699349349,280771137,0.04790624,0.001949532,,,,,,,,,,
0.94994995,0.049074074,275422355.4,0.009031238,0.021205189,,,,,,,,,,
0.946946947,0.049199199,265935611.3,0.010072339,0.021205189,,,,,,,,,,
0.958958959,0.075700701,289802189.8,0.03355438,0.0091825,,,,,,,,,,
0.962962963,0.492267267,198944868.5,0.089363653,0.013019082,,,,,,,,,,
0.938938939,0.139039039,119361853.1,0.103971849,0.000980324,,,,,,,,,,
0.774774775,0.233433433,0,0.035371684,0,,,,,,,,,,
0.956956957,0.073873874,286453017.8,0.009872526,0.022353141,,,,,,,,,,
0.785785786,0.372897898,0,0.027579405,0.004183409,,,,,,,,,,
0.935935936,0.589189189,70233566.3,0.104260116,0.00491661,,,,,,,,,,
0.965965966,0.603978979,283765396.3,0.045703151,0.012288703,,,,,,,,,,
0.962962963,0.209284284,332221093.5,0.025180562,0.008123488,,,,,,,,,,
0.761761762,0.167717718,0,0.038660263,0,,,,,,,,,,
0.942942943,0.063313313,259314712.6,0.037219123,0,,,,,,,,,,
0.744744745,0.068493493,0,0.028473711,0.000836066,,,,,,,,,,
0.94994995,0.06483984,267633766.3,0.024911981,0.007202825,,,,,,,,,,
0.957957958,0.05487988,308670514.1,0.031518343,0.008636758,,,,,,,,,,
0.95995996,0.199399399,200419900.7,0.076810213,0.015015236,,,,,,,,,,
0.952952953,0.053053053,279657684.6,0.033148899,0.007649134,,,,,,,,,,
0.964964965,0.344594595,296098509.1,0.025709267,0.008883793,,,,,,,,,,
0.771771772,0.212987988,0,0.014987864,0.019290638,,,,,,,,,,
0.935935936,0.049299299,257809143.7,0.008518994,0.019677071,,,,,,,,,,
0.791791792,0.373798799,0,0.036949367,0,,,,,,,,,,
0.805805806,0.089264264,0,0.070451771,0.006080377,,,,,,,,,,
0.942942943,0.751276276,104950771,0.100572352,0,,,,,,,,,,
0.961961962,0.426776777,190017285.2,0.088273826,0.012165626,,,,,,,,,,
0.960960961,0.348373373,199847942.2,0.091728136,0,,,,,,,,,,
0.886886887,0.049974975,175361468.1,0.031350831,0.009054092,,,,,,,,,,
0.888888889,0.049974975,179545888.8,0.019166258,0.018834352,,,,,,,,,,
0.785785786,0.321046046,0,0.049972538,0,,,,,,,,,,
0.963963964,0.355905906,214194604.4,0.103143402,0,,,,,,,,,,
0.961961962,0.133758759,351134802.9,0.034989281,0.009543679,,,,,,,,,,
0.932932933,0.214664665,69955970.69,0.077337202,0.015018325,,,,,,,,,,
0.961961962,0.136311311,351134802.9,0.047201311,0,,,,,,,,,,
0.898898899,0.0495996,198592342.6,0.043619288,0.003764089,,,,,,,,,,
0.944944945,0.098948949,158292276,0.09528585,0,,,,,,,,,,
0.96996997,0.048973974,306047321.6,0.092628745,0,,,,,,,,,,
0.947947948,0.062362362,265646845.7,0.029676818,0.003194917,,,,,,,,,,
0.965965966,0.327177177,232438768.8,0.076574619,0.016061499,,,,,,,,,,
0.953953954,0.087462462,184345539.6,0.090055334,0.008693452,,,,,,,,,,
0.947947948,0.049199199,269811400.3,0.022853347,0.014630482,,,,,,,,,,
0.925925926,0.051976977,116048526.3,0.078160438,0.014774467,,,,,,,,,,
