REL,RF,NPC,PFC,WCC
0.961461461,0.053678679,218696874.6,0.031181465,0.008721585
0.975475475,0.049074074,275422355.4,0.015814653,0.018961176
0.928428428,0.117992993,76231745.31,0.019825722,0.015494131
0.96046046,0.059084084,69955970.69,0.08382633,0
0.98048048,0.128103103,286453017.8,0.03358075,0.009813007
0.967967968,0.878028028,69955970.69,0.088986495,0.024308104
0.953953954,0.052252252,189042084.1,0.023178644,0.012934736
0.954454454,0.05452953,194955262,0.019530496,0.014855878
0.982482482,0.688513514,228300985.1,0.058127835,0.02168895
0.975975976,0.799049049,144548799.1,0.103989538,0
0.984484484,0.903103103,279657684.6,0.020073955,0.030683953
0.945945946,0.10508008,157783304.4,0.050266992,0
0.974474474,0.089714715,174748749.2,0.095492742,0
0.968468468,0.441466466,85358703.55,0.091709918,0.000406521
0.983483483,0.598248248,294332679.2,0.037988181,0.014474476
0.897897898,0.066741742,69955970.69,0.041730444,0.004193786
0.973473473,0.144419419,156746887.2,0.092899124,0.008407548
0.967467467,0.278953954,89459761.63,0.084532536,0.014264309
0.975475475,0.23043043,159718974.5,0.096549831,0.00658162
0.98048048,0.13978979,288541163.2,0.029394966,0.005749491
0.946446446,0.053053053,76411986.95,0.079952604,0.014825688
0.935435435,0.06951952,146187716,0.024310192,0.004083107
0.964464464,0.11493994,99122421.73,0.079448475,0.014399028
0.972472472,0.054054054,187257655,0.081612978,0.00076844
0.975475475,0.553003003,144548799.1,0.095600874,0.009451306
0.94044044,0.058208208,129232742.3,0.075734053,0.00316995
0.973973974,0.146946947,145402579.7,0.084921201,0.013923317
0.97047047,0.049324324,259969808.4,0.027668127,0.004180549
0.957457457,0.056531532,208451523.2,0.034218363,0.003547235
0.98048048,0.851451451,256479345.4,0.043452162,0.004747518
0.965465465,0.108133133,110740870.4,0.08192376,0.003589915
0.984484484,0.903728729,279657684.6,0.04473635,0.014262589
0.937937938,0.111486486,72989095.33,0.07747779,0.001878077
0.922422422,0.088088088,0,0.073774031,0.003353262
0.978478478,0.720245245,166710080.2,0.092850476,0.012059865
0.963463463,0.058858859,118701868.7,0.091221865,0
0.976476476,0.054654655,279657684.6,0.029421425,0.009957605
0.971971972,0.07494995,248953535.6,0.030228614,0.009105711
0.935935936,0.136886887,69955970.69,0.060528015,0.014203168
0.98048048,0.326576577,278255323.9,0.036502544,0.003652317
0.956456456,0.07002002,199661126,0.031358582,0.004036184
0.924424424,0.051026026,76231745.31,0.028286197,0.004892662
0.955455455,0.0498999,207052496.4,0.026603316,0.004904142
0.954454454,0.054554555,196837015.8,0.028153977,0.004080461
0.972472472,0.749724725,118701868.7,0.087235903,0.005315805
0.969469469,0.076276276,159421726.1,0.091793146,0.006128264
0.976976977,0.059434434,214774881.8,0.0880734,0.005804616
0.97047047,0.894644645,96773092.9,0.088495045,0.027002276
0.942442442,0.052352352,159416110.7,0.034944613,0.008440422
0.966466466,0.124974975,95734229.09,0.0842443,0.002265671
0.956456456,0.095095095,187586192.7,0.029903906,0.003450967
0.944944945,0.087187187,158616738.9,0.033964556,0.002558304
