0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1gross_rev,1cont_contrib,1drought_cost
72.29,72.29,13.1198,0.05,0.22,2.52997,2.52997,0,0.473908,3.6288,9.29739e+06,0,0,0,0,3.79413e+06,170031,0,99.3022,98.274,12.4533,0,1,1.46753,1.46753,0,1.13332,2.1168,1.27405e+07,0,0,0,0,3.8088e+06,227766,0
72.29,72.29,13.8166,0.05,0.22,2.53108,2.53108,0,0.474116,3.6288,9.46749e+06,0,0,0,0,3.7958e+06,170106,0,99.3022,98.274,18.016,0,1,1.46818,1.46818,0,1.13382,2.1168,1.29683e+07,0,0,0,0,3.81047e+06,227866,0
72.29,72.29,9.36351,0.05,0.22,2.53219,2.53219,0,0.474324,3.6288,9.63767e+06,0,0,0,0,3.79746e+06,170181,0,99.3022,98.274,12.775,0,1,1.46882,1.46882,0,1.13431,2.1168,1.31963e+07,0,0,0,0,3.81214e+06,227966,0
72.29,72.29,11.3423,0.05,0.22,2.78039,2.78039,0,0.474532,3.6288,9.82453e+06,0,0,0,0,4.16969e+06,186861,0,99.3022,98.274,13.5771,0,1,1.64224,1.64224,0,1.13481,2.1168,1.34512e+07,0,0,0,0,4.26224e+06,254882,0
72.29,72.29,8.0428,0.05,0.22,2.78161,2.78161,0,0.521045,3.6288,1.00115e+07,0,0,0,0,4.17151e+06,186943,0,99.3022,98.274,9.9485,0,1,1.64296,1.64296,0,1.2688,2.1168,1.37062e+07,0,0,0,0,4.26411e+06,254993,0
72.29,72.29,8.87605,0.05,0.22,2.78283,2.78283,0,0.521274,3.6288,1.01985e+07,0,0,0,0,4.17334e+06,187025,0,99.3022,98.274,12.1005,0,1,1.64368,1.64368,0,1.26935,2.1168,1.39613e+07,0,0,0,0,4.26597e+06,255105,0
72.29,72.29,6.80348,0.05,0.22,2.78405,2.78405,0,0.521502,3.6288,1.03856e+07,0,0,0,0,4.17517e+06,187107,0,99.3022,98.274,9.43823,0,1,1.6444,1.6444,0,1.26991,2.1168,1.42165e+07,0,0,0,0,4.26784e+06,255217,0
72.29,72.29,7.48163,0.05,0.22,2.43222,2.43222,0,0.521731,3.6288,1.05491e+07,0,0,0,0,3.64754e+06,163462,0,99.3022,98.274,11.8154,0,1,1.41285,1.41285,0,1.27047,2.1168,1.44358e+07,0,0,0,0,3.66687e+06,219279,0
72.29,72.29,8.0682,0.05,0.22,2.43328,2.43328,0,0.455797,3.6288,1.07126e+07,0,0,0,0,3.64914e+06,163533,0,99.3022,98.274,12.9453,0,1,1.41347,1.41347,0,1.09157,2.1168,1.46552e+07,0,0,0,0,3.66847e+06,219375,0
72.29,72.29,7.27903,0.05,0.22,2.43435,2.43435,0,0.455997,3.6288,1.08762e+07,0,0,0,0,3.65073e+06,163605,0,99.3022,98.274,10.4922,0,1,1.41408,1.41408,0,1.09204,2.1168,1.48746e+07,0,0,0,0,3.67008e+06,219471,0
72.29,72.29,7.84175,0.05,0.22,2.43541,2.43541,0,0.456197,3.6288,1.10399e+07,0,0,0,0,3.65233e+06,163677,0,99.3022,98.274,11.4388,0,1,1.4147,1.4147,0,1.09252,2.1168,1.50942e+07,0,0,0,0,3.67169e+06,219567,0
72.29,72.29,6.96678,0.05,0.22,2.43648,2.43648,0,0.456396,3.6288,1.12036e+07,0,0,0,0,3.65393e+06,163748,0,99.3022,98.274,9.90614,0,1,1.41532,1.41532,0,1.093,2.1168,1.53139e+07,0,0,0,0,3.67329e+06,219663,0
72.29,72.29,5.33363,0.05,0.22,2.52661,2.52661,0,0.456596,3.6288,1.13734e+07,0,0,0,0,3.78909e+06,169806,0,99.3022,98.274,9.85622,0,1,1.47289,1.47289,0,1.09348,2.1168,1.55424e+07,0,0,0,0,3.8227e+06,228598,0
72.29,72.29,4.04921,0.05,0.22,2.52771,2.52771,0,0.473486,3.6288,1.15433e+07,0,0,0,0,3.79075e+06,169880,0,99.3022,98.274,7.7356,0,1,1.47354,1.47354,0,1.13796,2.1168,1.57711e+07,0,0,0,0,3.82438e+06,228698,0
72.29,72.29,3.64103,0.05,0.22,2.52882,2.52882,0,0.473694,3.6288,1.17133e+07,0,0,0,0,3.79241e+06,169954,0,99.3022,98.274,6.87029,0,1,1.47418,1.47418,0,1.13845,2.1168,1.59999e+07,0,0,0,0,3.82605e+06,228798,0
72.29,72.29,3.70401,0.05,0.22,2.52993,2.52993,0,0.473901,3.6288,1.18833e+07,0,0,0,0,3.79407e+06,170028,0,99.3022,98.274,7.66085,0,1,1.47482,1.47482,0,1.13895,2.1168,1.62288e+07,0,0,0,0,3.82772e+06,228898,0
72.29,72.29,3.79471,0.05,0.22,2.49615,2.49615,0,0.474108,3.6288,1.20511e+07,0,0,0,0,3.74341e+06,167758,0,99.3022,98.274,7.69151,0,1,1.45331,1.45331,0,1.13945,2.1168,1.64544e+07,0,0,0,0,3.77189e+06,225559,0
72.29,72.29,3.31162,0.05,0.22,2.49724,2.49724,0,0.467778,3.6288,1.22189e+07,0,0,0,0,3.74505e+06,167832,0,99.3022,98.274,6.71372,0,1,1.45395,1.45395,0,1.12283,2.1168,1.66801e+07,0,0,0,0,3.77354e+06,225658,0
72.2038,72.29,3.02309,0.05,0.22,2.49833,2.49833,0,0.467983,3.6288,1.23868e+07,0,0,0,0,3.74669e+06,167905,0,99.3022,98.274,5.59427,0,1,1.45458,1.45458,0,1.12332,2.1168,1.69058e+07,0,0,0,0,3.77519e+06,225756,0
72.29,72.29,3.77544,0.07,0.22,2.49942,2.49942,0,0.468187,3.6288,1.25548e+07,0,0,0,0,3.74833e+06,167978,0,99.3022,98.274,6.44461,0,1,1.45522,1.45522,0,1.12381,2.1168,1.71317e+07,0,0,0,0,3.77684e+06,225855,0
72.1956,72.29,3.04943,0.04,0.22,2.61913,2.61913,0,0.468392,3.6288,1.27308e+07,0,0,0,0,3.92785e+06,176024,0,99.3022,98.274,5.69697,0,1,1.53457,1.53457,0,1.1243,2.1168,1.73698e+07,0,0,0,0,3.98277e+06,238170,0
72.1865,72.29,3.14955,0.07,0.22,2.62028,2.62028,0,0.490825,3.6288,1.29069e+07,0,0,0,0,3.92957e+06,176101,0,99.3022,98.274,5.48343,0,1,1.53524,1.53524,0,1.18561,2.1168,1.76081e+07,0,0,0,0,3.98452e+06,238274,0
71.8828,72.29,2.85612,0.06,0.22,2.62142,2.62142,0,0.49104,3.6288,1.30831e+07,0,0,0,0,3.93128e+06,176178,0,99.3022,98.274,4.82049,0,1,1.53591,1.53591,0,1.18612,2.1168,1.78465e+07,0,0,0,0,3.98626e+06,238378,0
71.2586,72.29,2.53639,0.05,0.22,2.62257,2.62257,0,0.491254,3.6288,1.32593e+07,0,0,0,0,3.933e+06,176255,0,99.3022,98.274,4.90729,0,1,1.53658,1.53658,0,1.18664,2.1168,1.8085e+07,0,0,0,0,3.988e+06,238482,0
70.5101,72.29,2.35839,0.05,0.22,2.62371,2.62371,0,0.491469,3.6288,1.34357e+07,0,0,0,0,3.93472e+06,176331,0,99.3022,98.274,4.88168,0,1,1.53725,1.53725,0,1.18716,2.1168,1.83236e+07,0,0,0,0,3.98974e+06,238586,0
70.1093,72.29,2.67972,0.04,0.22,2.60135,2.60135,0,0.491683,3.6288,1.36105e+07,0,0,0,0,3.90118e+06,174828,0,99.3022,98.274,4.38226,0,1,1.58128,1.58128,0,1.18768,2.1168,1.8569e+07,0,0,0,0,4.104e+06,245419,0
69.5846,72.29,2.53175,0.03,0.22,2.60248,2.60248,0,0.487492,3.6288,1.37854e+07,0,0,0,0,3.90288e+06,174905,0,99.3022,98.274,4.21989,0,1,1.58197,1.58197,0,1.22169,2.1168,1.88145e+07,0,0,0,0,4.10579e+06,245526,0
68.9365,72.29,2.40904,0.03,0.22,2.60362,2.60362,0,0.487705,3.6288,1.39604e+07,0,0,0,0,3.90458e+06,174981,0,99.3022,98.274,4.01016,0,1,1.58266,1.58266,0,1.22223,2.1168,1.90601e+07,0,0,0,0,4.10759e+06,245634,0
68.1023,72.29,2.22362,0.03,0.22,2.60475,2.60475,0,0.487918,3.6288,1.41354e+07,0,0,0,0,3.90629e+06,175057,0,99.3022,98.274,3.72403,0,1,1.58335,1.58335,0,1.22276,2.1168,1.93059e+07,0,0,0,0,4.10938e+06,245741,0
67.2596,72.29,2.26851,0.03,0.22,2.66671,2.66671,0,0.488131,3.6288,1.43147e+07,0,0,0,0,3.9992e+06,179221,0,99.3022,98.274,3.79036,0,1,1.62274,1.62274,0,1.22329,2.1168,1.95577e+07,0,0,0,0,4.21163e+06,251855,0
66.3982,72.29,2.2445,0.04,0.22,2.66787,2.66787,0,0.499741,3.6288,1.4494e+07,0,0,0,0,4.00094e+06,179299,0,99.3022,98.274,3.80371,0,1,1.62345,1.62345,0,1.25373,2.1168,1.98097e+07,0,0,0,0,4.21347e+06,251965,0
65.3933,72.29,2.10166,0.04,0.22,2.66903,2.66903,0,0.499959,3.6288,1.46733e+07,0,0,0,0,4.00269e+06,179377,0,99.3022,98.274,3.63297,0,1,1.62416,1.62416,0,1.25428,2.1168,2.00618e+07,0,0,0,0,4.2153e+06,252075,0
64.1997,72.29,1.91349,0.04,0.22,2.6702,2.6702,0,0.500177,3.6288,1.48528e+07,0,0,0,0,4.00443e+06,179456,0,99.3022,98.274,3.23135,0,1,1.62487,1.62487,0,1.25483,2.1168,2.0314e+07,0,0,0,0,4.21714e+06,252185,0
63.1714,72.29,2.24587,0.04,0.22,2.84977,2.84977,0,0.500395,3.6288,1.50443e+07,0,0,0,0,4.27373e+06,191524,0,99.3022,98.274,4.34123,0,1,1.76553,1.76553,0,1.25537,2.1168,2.0588e+07,0,0,0,0,4.58222e+06,274016,0
62.2019,72.29,2.30013,0.04,0.22,2.85101,2.85101,0,0.534047,3.6288,1.52359e+07,0,0,0,0,4.27559e+06,191608,0,99.3022,98.274,3.5248,0,1,1.7663,1.7663,0,1.36405,2.1168,2.08621e+07,0,0,0,0,4.58421e+06,274136,0
60.9499,72.29,2.01847,0.06,0.22,2.85225,2.85225,0,0.53428,3.6288,1.54276e+07,0,0,0,0,4.27746e+06,191691,0,99.3022,98.274,3.37961,0,1,1.76707,1.76707,0,1.36464,2.1168,2.11364e+07,0,0,0,0,4.58621e+06,274255,0
59.7403,72.29,2.06148,0.06,0.22,2.8535,2.8535,0,0.534512,3.6288,1.56194e+07,0,0,0,0,4.27932e+06,191775,0,99.3022,98.274,3.65647,0,1,1.76784,1.76784,0,1.36524,2.1168,2.14107e+07,0,0,0,0,4.58821e+06,274375,0
