0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
1.02128e+07,0,0,8.09485e+07,0,2.51241e+07,-803289,0
9.40976e+06,0,0,8.09485e+07,0,2.51318e+07,-803073,0
8.6069e+06,0,0,8.09485e+07,0,2.51395e+07,-802857,0
7.83014e+06,0,0,8.09485e+07,0,2.6067e+07,-776770,0
7.05359e+06,0,0,8.09485e+07,0,2.60751e+07,-776545,0
6.27727e+06,0,0,8.09485e+07,0,2.60831e+07,-776320,0
5.50117e+06,0,0,8.09485e+07,0,2.60911e+07,-776096,0
4.71522e+06,0,0,8.09485e+07,0,2.57404e+07,-785959,0
3.92948e+06,0,0,8.09485e+07,0,2.57483e+07,-785737,0
3.14396e+06,0,0,8.09485e+07,0,2.57562e+07,-785516,0
2.35867e+06,0,0,8.09485e+07,0,2.57641e+07,-785294,0
1.60881e+06,0,0,8.09485e+07,0,2.70223e+07,-749856,0
859189,0,0,8.09485e+07,0,2.70306e+07,-749623,0
109799,0,0,8.09485e+07,0,2.70389e+07,-749390,0
0,0,0,8.09485e+07,0,2.70472e+07,-749157,529558
0,0,0,8.09485e+07,0,2.70556e+07,-748924,748924
0,0,0,8.09485e+07,0,2.73588e+07,-739394,739394
0,0,0,8.09485e+07,0,2.73672e+07,-739158,739158
0,0,0,8.09485e+07,0,2.73756e+07,-738921,738921
0,0,0,8.09485e+07,0,2.7384e+07,-738685,738685
0,0,0,8.09485e+07,0,2.80177e+07,-720866,720866
0,0,0,8.09485e+07,0,2.80263e+07,-720624,720624
0,0,0,8.09485e+07,0,2.80349e+07,-720382,720382
0,0,0,8.09485e+07,0,2.80436e+07,-720140,720140
0,0,0,8.09485e+07,0,3.01283e+07,-661061,661061
0,0,0,8.09485e+07,0,3.01376e+07,-660799,660799
0,0,0,8.09485e+07,0,3.01469e+07,-660538,660538
0,0,0,8.09485e+07,0,3.01562e+07,-660277,660277
0,0,0,8.09485e+07,0,3.01655e+07,-660015,660015
0,0,0,8.09485e+07,0,2.90072e+07,-693098,693098
0,0,0,8.09485e+07,0,2.90162e+07,-692847,692847
